id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
34913380,Oasis 1 - 4 Bedroom Condo - McCormick Place,178710732,Annie,,Armour Square,41.85311,-87.63203,Entire home/apt,339,1,52,2022-03-13,1.53,19,285,23,R21000061907
34930062,Historic luxury Townhouse  in Downtown Chicago,260808183,Julian,,Near North Side,41.90136,-87.62574,Entire home/apt,382,2,83,2021-10-31,2.57,1,211,30,R22000078584
34931784,Quintessential Ukrainian Village Vintage Apartment,56538332,Kari,,West Town,41.89763,-87.68022,Entire home/apt,250,32,11,2019-08-08,0.32,1,0,0,R19000042678
34932141,Walk to Wrigley * Great Patio* Garage Parking,15020587,Mark,,Lake View,41.95344,-87.67022,Entire home/apt,150,2,54,2022-03-13,1.62,1,41,23,R21000063940
34944861,"SuperHost GOLD COAST Queen Bed,  Location!",3965428,Rob,,Near North Side,41.89846,-87.62186,Entire home/apt,120,32,0,,,88,365,0,City registration pending
34944912,Updated Vintage Wrigleyville Triplex - Sleeps 18!,13195824,Amy,,Lake View,41.95092,-87.64727,Entire home/apt,1456,3,37,2021-11-08,1.08,2,313,11,R19000041850
34945605,Hotel Perks - Private Bedroom | Private Bathroom,57387860,Freehand,,Near North Side,41.8923,-87.627335,Hotel room,124,1,185,2022-03-14,5.62,24,259,149,R18000024404
34970066,McCormick Downtown CROWN #5 2bd/2ba +GYM,98193524,JW And Mary,,Near South Side,41.85494,-87.62571,Entire home/apt,201,2,108,2022-03-13,3.20,21,56,53,R21000064398
34975034,30 E. Huron #3405 Private Residence,257464365,Kevin,,Near North Side,41.89315,-87.61506,Entire home/apt,95,32,1,2020-01-06,0.04,18,0,0,City registration pending
34975978,3 Bdrm - Modern Vibe in a Classic Chicago Two-flat,77794926,David,,Irving Park,41.95911,-87.70584,Entire home/apt,156,2,49,2021-11-28,1.44,1,105,16,R19000041871
35004098,Contemporary Drama & Volume in Bucktown,50139939,Mona,,Logan Square,41.91904,-87.67433,Entire home/apt,575,4,1,2019-09-29,0.03,1,43,0,R21000061106
35032890,Beautiful Modern 2 bed/2bath West Town apartment,5722677,Bernard,,West Town,41.89239,-87.67986,Entire home/apt,75,2,5,2019-08-25,0.15,1,0,0,R21000073733
35034266,Charming Edgewater/Andersonville Garden 1 bdrm.,28069606,Hikaru,,Edgewater,41.98612,-87.66991,Entire home/apt,88,2,121,2022-03-06,3.55,1,232,32,R19000041833
35036581,"Hip Apartment Steps to the ""L"" & Division Street",253493484,Matt,,West Town,41.901,-87.66607,Entire home/apt,105,200,41,2020-03-16,1.19,1,0,0,R19000041883
35039966,Spacious condo with open floor plan and fireplace,14865066,William,,Rogers Park,42.01375,-87.68298,Entire home/apt,209,3,9,2022-01-31,0.30,3,36,3,2087705
35049742,2BR Centrally Located in Cozy Hip Logan Square,13275510,Chanda,,Logan Square,41.92299,-87.70296,Entire home/apt,111,3,84,2022-03-02,2.61,1,254,42,R19000044398
35056266,Andersonville area close to shops and restaurants!,263234017,Daniel,,Lincoln Square,41.97526,-87.67501,Private room,60,1,64,2022-01-01,1.98,2,14,17,R19000042648
